Client's_County,latitude,longitude,zipcode,latitude,longitude
,,,10157,40.780751,-73.977182
,,,10158,40.749435,-73.9758
,,,10159,40.780751,-73.977182
,,,10160,40.780751,-73.977182
,,,10161,40.780751,-73.977182
,,,10162,40.769334,-73.94893
,,,10163,40.780751,-73.977182
,,,10164,40.780751,-73.977182
,,,10165,40.752354,-73.9789
,,,10166,40.754591,-73.976238
,,,10167,40.754862,-73.97495
,,,10168,40.751933,-73.976794
,,,10169,40.754463,-73.97606
,,,10170,40.752859,-73.97608
,,,10171,40.756099,-73.97401
,,,10172,40.755494,-73.97447
,,,10173,40.754302,-73.97955
,,,10174,40.751656,-73.97516
,,,10175,40.754305,-73.979782
,,,10176,40.75557,-73.978877
,,,10177,40.755345,-73.97609
,,,10178,40.751378,-73.978507
,,,10179,40.780751,-73.977182
,,,10184,40.780751,-73.977182
,,,10185,40.780751,-73.977182
,,,10196,40.780751,-73.977182
,,,10197,40.780751,-73.977182
,,,10199,40.750308,-74.00058
,,,10203,40.780751,-73.977182
,,,10211,40.780751,-73.977182
,,,10212,40.780751,-73.977182
,,,10213,40.780751,-73.977182
,,,10242,40.780751,-73.977182
,,,10249,40.780751,-73.977182
,,,10250,40.709387,-74.016529
,,,10256,40.780751,-73.977182
,,,10257,40.780751,-73.977182
,,,10258,40.780751,-73.977182
,,,10259,40.780751,-73.977182
,,,10260,40.780751,-73.977182
,,,10261,40.780751,-73.977182
,,,10265,40.780751,-73.977182
,,,10268,40.780751,-73.977182
,,,10269,40.780751,-73.977182
,,,10270,40.706925,-74.008154
,,,10271,40.708669,-74.01043
,,,10272,40.780751,-73.977182
,,,10273,40.780751,-73.977182
,,,10274,40.780751,-73.977182
,,,10275,40.780751,-73.977182
,,,10276,40.780751,-73.977182
,,,10277,40.780751,-73.977182
,,,10278,40.715721,-74.00395
,,,10279,40.713062,-74.00857
,,,10280,40.707467,-74.0178
,,,10281,40.714643,-74.014958
,,,10282,40.717179,-74.01433
,,,10285,40.71533,-74.016306
,,,10286,40.714231,-74.011895
,,,10292,40.780751,-73.977182
,,,10301,40.631775,-74.09432
,,,10302,40.631127,-74.13715
,,,10303,40.629448,-74.16239
,,,10304,40.60787,-74.08991
,,,10305,40.599021,-74.07503
,,,10306,40.569394,-74.11785
,,,10307,40.508274,-74.24387
,,,10308,40.551353,-74.15098
,,,10309,40.529749,-74.21304
,,,10310,40.63212,-74.11551
,,,10311,40.605245,-74.179485
,,,10312,40.543117,-74.17628
,,,10313,40.564393,-74.146836
,,,10314,40.606337,-74.14513
,,,10422,40.828279,-73.869454
,,,10451,40.819729,-73.9223
,,,10452,40.838745,-73.92234
,,,10453,40.853017,-73.91214
,,,10454,40.805968,-73.91628
,,,10455,40.815559,-73.90771
,,,10456,40.829676,-73.90856
,,,10457,40.846745,-73.89861
,,,10458,40.864166,-73.88881
,,,10459,40.825432,-73.89327
,,,10460,40.84095,-73.88036
,,,10461,40.842917,-73.83819
,,,10462,40.842173,-73.85862
,,,10463,40.881086,-73.90749
,,,10464,40.857017,-73.78903
,,,10465,40.825727,-73.81752
,,,10466,40.89095,-73.84702
,,,10467,40.872265,-73.86937
,,,10468,40.867107,-73.89916
,,,10469,40.868643,-73.84735
,,,10470,40.900629,-73.86072
,,,10471,40.900819,-73.90347
,,,10472,40.830409,-73.86845
,,,10473,40.818514,-73.85893
,,,10474,40.81321,-73.88755
,,,10475,40.878522,-73.82541
,,,10499,40.851549,-73.840908
,,,10501,41.289939,-73.76493
,,,10502,41.011324,-73.84152
,,,10503,41.024855,-73.87513
,,,10504,41.129908,-73.70352
,,,10505,41.33431,-73.749244
,,,10506,41.195778,-73.62777
,,,10507,41.236931,-73.69018
,,,10509,41.41362,-73.59556
,,,10510,41.146297,-73.83311
,,,10511,41.260283,-73.94033
,,,10512,41.444833,-73.6845
,,,10514,41.167455,-73.77597
,,,10516,41.440695,-73.9314
,,,10517,41.300561,-73.861217
,,,10518,41.269072,-73.60493
,,,10519,41.34598,-73.66199
,,,10520,41.215541,-73.88543
,,,10521,41.234256,-73.926165
,,,10522,41.012729,-73.86602
,,,10523,41.057089,-73.81658
,,,10524,41.363063,-73.92154
,,,10526,41.294561,-73.66701
,,,10527,41.319026,-73.7576
,,,10528,40.972667,-73.71886
,,,10530,41.025114,-73.80635
,,,10532,41.103664,-73.7958
,,,10533,41.039005,-73.8635
,,,10535,41.331173,-73.80208
,,,10536,41.265478,-73.68512
,,,10537,41.337335,-73.88689
,,,10538,40.933089,-73.75615
,,,10540,41.333398,-73.724257
,,,10541,41.372419,-73.75367
,,,10542,41.372581,-73.760132
,,,10543,40.952892,-73.7346
,,,10545,41.119008,-73.732996
,,,10546,41.199502,-73.79269
,,,10547,41.314676,-73.85118
,,,10548,41.248359,-73.94147
,,,10549,41.204027,-73.73045
,,,10550,40.907607,-73.83709
,,,10551,41.119008,-73.732996
,,,10552,40.924195,-73.82614
,,,10553,40.909288,-73.8215
,,,10557,41.119008,-73.732996
,,,10558,41.119008,-73.732996
,,,10559,41.119008,-73.732996
,,,10560,41.32797,-73.61306
,,,10562,41.176837,-73.84741
,,,10566,41.288258,-73.91928
,,,10567,41.300813,-73.8908
,,,10570,41.132367,-73.78922
,,,10571,41.119008,-73.732996
,,,10572,41.119008,-73.732996
,,,10573,41.010376,-73.67326
,,,10576,41.212954,-73.58409
,,,10577,41.037203,-73.71588
,,,10578,41.3252,-73.66906
,,,10579,41.390356,-73.8377
,,,10580,40.976579,-73.69002
,,,10581,41.119008,-73.732996
,,,10583,40.98845,-73.79716
,,,10586,40.997751,-73.820321
,,,10587,41.328737,-73.742268
,,,10588,41.330178,-73.82973
,,,10589,41.331587,-73.69234
,,,10590,41.256639,-73.54076
,,,10591,41.080196,-73.85721
,,,10592,41.119008,-73.732996
,,,10594,41.120025,-73.77687
,,,10595,41.083848,-73.77785
,,,10596,41.254823,-73.958727
,,,10597,41.289162,-73.58834
,,,10598,41.296874,-73.78934
,,,10601,41.032489,-73.76454
,,,10602,41.119008,-73.732996
,,,10603,41.053182,-73.77672
,,,10604,41.045387,-73.74451
,,,10605,41.01002,-73.75158
,,,10606,41.024107,-73.77808
,,,10607,41.041191,-73.80953
,,,10610,41.119008,-73.732996
,,,10625,41.119008,-73.732996
,,,10629,41.119008,-73.732996
,,,10633,41.119008,-73.732996
,,,10650,41.013696,-73.705975
,,,10701,40.943525,-73.88176
,,,10702,41.119008,-73.732996
,,,10703,40.956546,-73.8799
,,,10704,40.920273,-73.8612
,,,10705,40.917281,-73.89142
,,,10706,40.992084,-73.8729
,,,10707,40.958689,-73.82363
,,,10708,40.939049,-73.83099
,,,10709,40.953849,-73.81143
,,,10710,40.96555,-73.84506
,,,10730,41.358899,-74.122951
,,,10801,40.915845,-73.78643
,,,10802,40.948274,-73.795361
,,,10803,40.902221,-73.80717
,,,10804,40.946805,-73.78797
,,,10805,40.897783,-73.77933
,,,10901,41.125695,-74.12682
,,,10910,41.386195,-74.125718
,,,10911,41.160945,-74.060826
,,,10912,41.387822,-74.354699
,,,10913,41.062779,-73.96016
,,,10914,41.464867,-74.255646
,,,10915,41.555634,-74.328805
,,,10916,41.451074,-74.24346
,,,10917,41.322344,-74.12354
,,,10918,41.35648,-74.26072
,,,10919,41.525781,-74.37907
,,,10920,41.149245,-73.94287
,,,10921,41.332519,-74.35931
,,,10922,41.334557,-73.99175
,,,10923,41.204544,-74.00161
,,,10924,41.38928,-74.3337
,,,10925,41.211794,-74.29778
,,,10926,41.299334,-74.14049
,,,10927,41.196044,-73.96836
,,,10928,41.360336,-73.97293
,,,10930,41.35805,-74.12096
,,,10931,41.126395,-74.16718
,,,10932,41.485227,-74.484249
,,,10933,41.365286,-74.510918
,,,10940,41.449364,-74.43951
,,,10941,41.478028,-74.35844
,,,10943,41.387822,-74.354699
,,,10946,41.507236,-74.412119
,,,10950,41.323547,-74.19531
,,,10952,41.116162,-74.07556
,,,10953,41.409284,-74.083045
,,,10954,41.100182,-74.0133
,,,10956,41.145495,-73.9949
,,,10957,41.308218,-73.613803
,,,10958,41.384738,-74.41571
,,,10959,41.387822,-74.354699
,,,10960,41.089746,-73.9258
,,,10962,41.047996,-73.96215
,,,10963,41.475197,-74.53847
,,,10964,41.011464,-73.92585
,,,10965,41.063329,-74.01734
,,,10968,41.040623,-73.91878
,,,10969,41.295568,-74.48935
,,,10970,41.192394,-74.04523
,,,10973,41.391172,-74.47758
,,,10974,41.156095,-74.19214
,,,10975,41.246428,-74.17141
,,,10976,41.028647,-73.92817
,,,10977,41.116795,-74.04504
,,,10979,41.182344,-74.318354
,,,10980,41.231408,-74.01157
,,,10981,41.323172,-74.288565
,,,10982,41.160945,-74.060826
,,,10983,41.025897,-73.95118
,,,10984,41.208327,-74.02105
,,,10985,41.580793,-74.37451
,,,10986,41.271543,-73.98676
,,,10987,41.197123,-74.21069
,,,10988,41.314931,-74.550346
,,,10989,41.119788,-73.94455
,,,10990,41.259896,-74.35837
,,,10992,41.428269,-74.16178
,,,10993,41.207594,-73.97772
,,,10994,41.097529,-73.96996
,,,10995,41.160945,-74.060826
,,,10996,41.376109,-73.9788
,,,10997,41.387822,-74.354699
,,,10998,41.334034,-74.54593
,,,11001,40.7232,-73.70475
,,,11002,40.754757,-73.601772
,,,11003,40.700529,-73.70223
,,,11004,40.742944,-73.70956
,,,11005,40.756983,-73.7148
,,,11010,40.701702,-73.67562
,,,11020,40.771082,-73.71819
,,,11021,40.787068,-73.72577
,,,11022,40.754757,-73.601772
,,,11023,40.798839,-73.73352
,,,11024,40.812887,-73.74094
,,,11025,40.754757,-73.601772
,,,11026,40.754757,-73.601772
,,,11027,40.754757,-73.601772
,,,11030,40.796752,-73.68935
,,,11040,40.742901,-73.67895
,,,11041,40.754757,-73.601772
,,,11042,40.760128,-73.69379
,,,11043,40.754757,-73.601772
,,,11044,40.754757,-73.601772
,,,11050,40.833246,-73.69309
,,,11051,40.754757,-73.601772
,,,11052,40.754757,-73.601772
,,,11053,40.754757,-73.601772
,,,11054,40.754757,-73.601772
,,,11055,40.754757,-73.601772
,,,11096,40.618206,-73.74762
,,,11099,40.754757,-73.601772
,,,11101,40.745341,-73.93907
,,,11102,40.771286,-73.92462
,,,11103,40.762968,-73.91091
,,,11104,40.743796,-73.91949
,,,11105,40.774686,-73.90816
,,,11106,40.762012,-73.93147
,,,11109,40.651378,-73.870779
,,,11120,40.651378,-73.870779
,,,11201,40.695286,-73.98907
,,,11202,40.645099,-73.945032
,,,11203,40.649059,-73.93304
,,,11204,40.618944,-73.98473
,,,11205,40.694214,-73.96529
,,,11206,40.702348,-73.94288
,,,11207,40.670874,-73.89424
,,,11208,40.672666,-73.87248
,,,11209,40.62327,-74.0295
,,,11210,40.627946,-73.94552
,,,11211,40.71209,-73.95427
,,,11212,40.662191,-73.91328
,,,11213,40.670937,-73.93459
,,,11214,40.598994,-73.99611
,,,11215,40.667508,-73.9856
,,,11216,40.680398,-73.94824
,,,11217,40.68209,-73.97783
,,,11218,40.644552,-73.97595
,,,11219,40.632449,-73.99629
,,,11220,40.641436,-74.01574
,,,11221,40.691234,-73.92637
,,,11222,40.726302,-73.94559
,,,11223,40.598142,-73.97229
,,,11224,40.576589,-73.99172
,,,11225,40.662892,-73.95509
,,,11226,40.645256,-73.95553
,,,11228,40.617563,-74.01168
,,,11229,40.599256,-73.94118
,,,11230,40.622994,-73.96427
,,,11231,40.6788,-74.00254
,,,11232,40.655481,-74.00424
,,,11233,40.676938,-73.91858
,,,11234,40.618561,-73.9216
,,,11235,40.583803,-73.95019
,,,11236,40.640527,-73.90362
,,,11237,40.703355,-73.91993
,,,11238,40.680145,-73.96257
,,,11239,40.645848,-73.87919
,,,11240,40.645099,-73.945032
,,,11241,40.645099,-73.945032
,,,11242,40.645099,-73.945032
,,,11243,40.645099,-73.945032
,,,11244,40.645099,-73.945032
,,,11245,40.645099,-73.945032
,,,11247,40.645099,-73.945032
,,,11248,40.645099,-73.945032
,,,11249,40.645099,-73.945032
,,,11251,40.645099,-73.945032
,,,11252,40.645099,-73.945032
,,,11254,40.645099,-73.945032
,,,11255,40.645099,-73.945032
,,,11256,40.645099,-73.945032
,,,11286,40.658825,-74.004495
,,,11302,40.75945,-73.715016
,,,11351,40.781703,-73.831698
,,,11352,40.651378,-73.870779
,,,11353,40.651378,-73.870779
,,,11354,40.767969,-73.82496
,,,11355,40.749463,-73.81941
,,,11356,40.785462,-73.84366
,,,11357,40.784453,-73.80922
,,,11358,40.760522,-73.79612
,,,11359,40.79278,-73.776701
,,,11360,40.780386,-73.78005
,,,11361,40.763177,-73.77392
,,,11362,40.759686,-73.73322
,,,11363,40.772636,-73.74644
,,,11364,40.746718,-73.75994
,,,11365,40.738983,-73.79209
,,,11366,40.726137,-73.79502
,,,11367,40.728614,-73.82145
,,,11368,40.747106,-73.85838
,,,11369,40.762854,-73.87051
,,,11370,40.763015,-73.89052
,,,11371,40.772072,-73.87509
,,,11372,40.750146,-73.88433
,,,11373,40.736076,-73.87804
,,,11374,40.724945,-73.8609
,,,11375,40.720535,-73.84582
,,,11377,40.742869,-73.90377
,,,11378,40.724096,-73.90271
,,,11379,40.716028,-73.87925
,,,11380,40.651378,-73.870779
,,,11381,40.651378,-73.870779
,,,11385,40.703069,-73.89285
,,,11386,40.651378,-73.870779
,,,11388,40.651378,-73.870779
,,,11390,40.651378,-73.870779
,,,11405,40.651378,-73.870779
,,,11411,40.693538,-73.73574
,,,11412,40.697188,-73.75948
,,,11413,40.670138,-73.75141
,,,11414,40.658188,-73.84321
,,,11415,40.706903,-73.82973
,,,11416,40.683301,-73.8503
,,,11417,40.675534,-73.84476
,,,11418,40.698485,-73.83365
,,,11419,40.688688,-73.82216
,,,11420,40.673138,-73.81443
,,,11421,40.69087,-73.85828
,,,11422,40.662538,-73.73514
,,,11423,40.714261,-73.76824
,,,11424,40.651378,-73.870779
,,,11425,40.651378,-73.870779
,,,11426,40.732239,-73.72108
,,,11427,40.728235,-73.74782
,,,11428,40.719981,-73.74127
,,,11429,40.708833,-73.73903
,,,11430,40.650519,-73.79567
,,,11431,40.686903,-73.850143
,,,11432,40.714144,-73.79324
,,,11433,40.696538,-73.78734
,,,11434,40.674888,-73.7727
,,,11435,40.700068,-73.80986
,,,11436,40.674146,-73.79687
,,,11439,40.722008,-73.790822
,,,11451,40.651378,-73.870779
,,,11484,40.651378,-73.870779
,,,11499,40.651378,-73.870779
,,,11501,40.747188,-73.63808
,,,11507,40.769942,-73.65004
,,,11509,40.589538,-73.72915
,,,11510,40.654112,-73.6095
,,,11514,40.750132,-73.61328
,,,11516,40.627386,-73.72852
,,,11517,40.679845,-73.986415
,,,11518,40.639575,-73.66703
,,,11520,40.653935,-73.587
,,,11530,40.725257,-73.64056
,,,11531,40.754757,-73.601772
,,,11535,40.754757,-73.601772
,,,11536,40.754757,-73.601772
,,,11542,40.864757,-73.62609
,,,11545,40.823957,-73.60415
,,,11547,40.828143,-73.64401
,,,11548,40.813187,-73.62561
,,,11549,40.754757,-73.601772
,,,11550,40.702271,-73.61741
,,,11551,40.754757,-73.601772
,,,11552,40.6949,-73.65394
,,,11553,40.703502,-73.59306
,,,11554,40.7143,-73.55527
,,,11555,40.754757,-73.601772
,,,11556,40.754757,-73.601772
,,,11557,40.639534,-73.69253
,,,11558,40.603159,-73.65515
,,,11559,40.61579,-73.73126
,,,11560,40.881957,-73.59417
,,,11561,40.588154,-73.66517
,,,11562,40.665202,-73.668274
,,,11563,40.656974,-73.67306
,,,11564,40.754757,-73.601772
,,,11565,40.675249,-73.67298
,,,11566,40.666575,-73.55475
,,,11568,40.787368,-73.60119
,,,11569,40.593996,-73.58039
,,,11570,40.663935,-73.63792
,,,11571,40.754757,-73.601772
,,,11572,40.636286,-73.6374
,,,11575,40.679413,-73.58694
,,,11576,40.793839,-73.65156
,,,11577,40.785642,-73.64006
,,,11579,40.846388,-73.64452
,,,11580,40.673,-73.70346
,,,11581,40.651733,-73.71079
,,,11582,40.754757,-73.601772
,,,11583,40.754757,-73.601772
,,,11588,40.754757,-73.601772
,,,11590,40.756287,-73.57536
,,,11592,40.621753,-73.632673
,,,11593,40.754757,-73.601772
,,,11594,40.754757,-73.601772
,,,11595,40.754757,-73.601772
,,,11596,40.758283,-73.64259
,,,11597,40.754757,-73.601772
,,,11598,40.633103,-73.71404
,,,11599,40.607574,-73.742691
,,,11690,40.651378,-73.870779
,,,11691,40.60002,-73.75962
,,,11692,40.592939,-73.79568
,,,11693,40.596959,-73.81978
,,,11694,40.57649,-73.84721
,,,11695,40.651378,-73.870779
,,,11696,40.651378,-73.870779
,,,11697,40.560167,-73.90891
,,,11701,40.6851,-73.41317
,,,11702,40.687649,-73.32549
,,,11703,40.733398,-73.32257
,,,11704,40.719249,-73.35829
,,,11705,40.74485,-73.055
,,,11706,40.729098,-73.25607
,,,11707,40.922326,-72.637078
,,,11708,40.922326,-72.637078
,,,11709,40.907277,-73.55713
,,,11710,40.673438,-73.53382
,,,11713,40.771447,-72.94663
,,,11714,40.740662,-73.48631
,,,11715,40.74897,-73.03436
,,,11716,40.770042,-73.11376
,,,11717,40.783954,-73.24517
,,,11718,40.720746,-73.26614
,,,11719,40.780058,-72.91566
,,,11720,40.868946,-73.08009
,,,11721,40.890598,-73.37536
,,,11722,40.784874,-73.19924
,,,11724,40.865731,-73.44645
,,,11725,40.841522,-73.28001
,,,11726,40.680892,-73.39609
,,,11727,40.884895,-73.00501
,,,11729,40.760698,-73.33007
,,,11730,40.72921,-73.18073
,,,11731,40.865998,-73.31796
,,,11732,40.848766,-73.53478
,,,11733,40.932053,-73.10666
,,,11735,40.725968,-73.44151
,,,11736,40.754757,-73.601772
,,,11737,40.754757,-73.601772
,,,11738,40.83469,-73.0386
,,,11739,40.922326,-72.637078
,,,11740,40.862565,-73.36221
,,,11741,40.799706,-73.07485
,,,11742,40.810606,-73.04036
,,,11743,40.867498,-73.41146
,,,11745,40.922326,-72.637078
,,,11746,40.821698,-73.37553
,,,11747,40.791593,-73.40543
,,,11749,40.922326,-72.637078
,,,11750,40.922326,-72.637078
,,,11751,40.734212,-73.21416
,,,11752,40.754386,-73.18326
,,,11753,40.786544,-73.53675
,,,11754,40.888497,-73.24258
,,,11755,40.855402,-73.11839
,,,11756,40.724883,-73.51739
,,,11757,40.690049,-73.37442
,,,11758,40.68085,-73.46289
,,,11760,40.810246,-73.191789
,,,11762,40.68505,-73.44681
,,,11763,40.820786,-72.98375
,,,11764,40.946506,-72.98837
,,,11765,40.88889,-73.55608
,,,11766,40.929242,-73.01317
,,,11767,40.842962,-73.14303
,,,11768,40.905647,-73.33114
,,,11769,40.736011,-73.1296
,,,11770,40.643951,-73.16115
,,,11771,40.868882,-73.52292
,,,11772,40.770898,-73.00213
,,,11773,40.754757,-73.601772
,,,11774,40.754757,-73.601772
,,,11775,40.922326,-72.637078
,,,11776,40.911082,-73.04966
,,,11777,40.946103,-73.06222
,,,11778,40.954093,-72.92884
,,,11779,40.818826,-73.1187
,,,11780,40.884394,-73.15868
,,,11782,40.739869,-73.07198
,,,11783,40.679752,-73.48959
,,,11784,40.869274,-73.04254
,,,11786,40.94993,-72.89533
,,,11787,40.853343,-73.20777
,,,11788,40.819266,-73.20967
,,,11789,40.955586,-72.9733
,,,11790,40.906174,-73.12748
,,,11791,40.815215,-73.50057
,,,11792,40.953261,-72.8368
,,,11793,40.676649,-73.51122
,,,11794,40.922326,-72.637078
,,,11795,40.713459,-73.3001
,,,11796,40.731954,-73.10081
,,,11797,40.813801,-73.46912
,,,11798,40.752098,-73.36516
,,,11801,40.763355,-73.52323
,,,11802,40.754757,-73.601772
,,,11803,40.779911,-73.47948
,,,11804,40.765378,-73.45781
,,,11805,40.922326,-72.637078
,,,11815,40.754757,-73.601772
,,,11819,40.754757,-73.601772
,,,11853,40.754757,-73.601772
,,,11854,40.754757,-73.601772
,,,11855,40.754757,-73.601772
,,,11901,40.926595,-72.65327
,,,11930,40.985301,-72.10411
,,,11931,40.922326,-72.637078
,,,11932,40.939075,-72.30514
,,,11933,40.933429,-72.74646
,,,11934,40.797772,-72.79719
,,,11935,41.012868,-72.4723
,,,11937,40.995384,-72.18564
,,,11939,41.128923,-72.34189
,,,11940,40.806287,-72.75673
,,,11941,40.824658,-72.72356
,,,11942,40.84867,-72.57794
,,,11944,41.103838,-72.36729
,,,11946,40.875897,-72.52063
,,,11947,40.943323,-72.57996
,,,11948,40.961916,-72.55024
,,,11949,40.855861,-72.79736
,,,11950,40.80481,-72.84664
,,,11951,40.763634,-72.84554
,,,11952,40.994649,-72.53731
,,,11953,40.886267,-72.9552
,,,11954,41.03831,-71.9506
,,,11955,40.805789,-72.82092
,,,11956,40.991836,-72.47505
,,,11957,41.151826,-72.27511
,,,11958,41.03687,-72.45341
,,,11959,40.825411,-72.60506
,,,11960,40.803923,-72.70421
,,,11961,40.89609,-72.87824
,,,11962,40.937683,-72.26831
,,,11963,40.99628,-72.31074
,,,11964,41.060843,-72.33159
,,,11965,41.07815,-72.35093
,,,11967,40.794317,-72.87181
,,,11968,40.904348,-72.40714
,,,11969,40.922326,-72.637078
,,,11970,40.941363,-72.57502
,,,11971,41.059209,-72.42041
,,,11972,40.8204,-72.70113
,,,11973,40.922326,-72.637078
,,,11975,40.947419,-72.24505
,,,11976,40.919693,-72.34407
,,,11977,40.81819,-72.67835
,,,11978,40.816142,-72.63449
,,,11980,40.832858,-72.91611
,,,12007,42.482455,-73.936671
,,,12008,42.853043,-73.9029
,,,12009,42.698692,-74.03148
,,,12010,42.940644,-74.17899
,,,12015,42.279649,-73.81701
,,,12016,42.910206,-74.423606
,,,12017,42.323565,-73.45257
,,,12018,42.62742,-73.53494
,,,12019,42.916343,-73.86657
,,,12020,43.006309,-73.8604
,,,12022,42.681107,-73.3489
,,,12023,42.610306,-74.15692
,,,12024,42.494981,-73.510676
,,,12025,43.07681,-74.15332
,,,12027,42.912175,-73.90355
,,,12028,42.932315,-73.44521
,,,12029,42.399159,-73.42757
,,,12031,42.770985,-74.44694
,,,12032,43.158567,-74.49646
,,,12033,42.534631,-73.71327
,,,12035,42.722477,-74.35064
,,,12036,42.546034,-74.67315
,,,12037,42.346758,-73.57852
,,,12040,42.646742,-73.371611
,,,12041,42.543326,-73.97403
,,,12042,42.403719,-73.90875
,,,12043,42.696926,-74.52436
,,,12045,42.474135,-73.79335
,,,12046,42.475609,-73.92656
,,,12047,42.773777,-73.70793
,,,12050,42.317154,-73.748555
,,,12051,42.353773,-73.82774
